TRIP_SET,TRIP,SET_NO,TRIP_ID,BOARD_DATE,LATITUDE,LONGITUDE,year,month,Code6600.wgt,Code6600.no,STATION,BOTTOM_TEMPERATURE,DEPTH
S01102017.1,S01102017,1,100050090,2017-09-30 23:00,43.60167,-64.75317,2017,9,25.5036347,1275.181735,833,NA,126
S01102017.12,S01102017,12,100050090,2017-09-30 23:00,43.71733,-64.48467,2017,9,0,0,527,NA,154
S01102017.3,S01102017,3,100050090,2017-09-30 23:00,43.4365,-65.09133,2017,9,0,0,750,NA,124
S01102017.5,S01102017,5,100050090,2017-09-30 23:00,43.362,-65.23167,2017,9,0,0,856,NA,119
S01102017.6,S01102017,6,100050090,2017-09-30 23:00,43.3035,-65.26283,2017,9,0,0,855,NA,139
S01102017.7,S01102017,7,100050090,2017-09-30 23:00,43.32,-65.12717,2017,9,0,0,522,NA,157
S01102017.8,S01102017,8,100050090,2017-09-30 23:00,43.372,-65.02017,2017,9,0,0,835,NA,161
S01102017.9,S01102017,9,100050090,2017-09-30 23:00,43.49567,-64.75817,2017,9,29.22252672,292.2252672,524,NA,81
S01102018.1,S01102018,1,100052289,2018-09-30 23:00,43.30467,-65.26067,2018,9,0,0,855,6.549128571,141
S01102018.10,S01102018,10,100052289,2018-09-30 23:00,44.36817,-63.76217,2018,9,0,0,268,5.04596729,86
S01102018.2,S01102018,2,100052289,2018-09-30 23:00,43.36233,-65.23467,2018,9,0,0,856,5.870706195,119
S01102018.3,S01102018,3,100052289,2018-09-30 23:00,43.3705,-65.02183,2018,9,0,0,835,7.252109402,161
S01102018.4,S01102018,4,100052289,2018-09-30 23:00,43.47817,-64.886,2018,9,0,0,834,6.415281982,139
S01102018.6,S01102018,6,100052289,2018-09-30 23:00,43.7145,-64.48367,2018,9,0,0,527,9.572845946,152
S01102018.7,S01102018,7,100052289,2018-09-30 23:00,43.9765,-64.2695,2018,9,0,0,623,5.412379646,123
S01102018.8,S01102018,8,100052289,2018-09-30 23:00,44.32133,-63.91833,2018,9,0,0,528,5.367316505,93
S01102018.9,S01102018,9,100052289,2018-09-30 23:00,44.38633,-63.8485,2018,9,0,0,701,5.043458654,79
S01112004.1,S01112004,1,100018589,2004-10-31 23:00,43.81283,-59.56467,2004,10,NA,5175.037807,921,5.855735294,57
S01112004.10,S01112004,10,100018589,2004-10-31 23:00,43.46583,-60.09233,2004,10,NA,0,929,6.91562963,293
S01112004.11,S01112004,11,100018589,2004-10-31 23:00,43.46783,-60.23783,2004,10,NA,0,932,6.031623377,152
S01112004.12,S01112004,12,100018589,2004-10-31 23:00,43.47717,-60.4035,2004,10,NA,303.3851472,934,4.161854305,123
S01112004.2,S01112004,2,100018589,2004-10-31 23:00,43.8575,-59.36517,2004,10,NA,540.972939,919,4.900491803,60
S01112004.3,S01112004,3,100018589,2004-10-31 23:00,43.84983,-59.29983,2004,10,NA,0,917,3.552461538,70
S01112004.4,S01112004,4,100018589,2004-10-31 23:00,43.70533,-59.20667,2004,10,NA,0,918,6.67248227,179
S01112004.5,S01112004,5,100018589,2004-10-31 23:00,43.6995,-59.455,2004,10,NA,5057.519005,920,4.484047619,138
S01112004.6,S01112004,6,100018589,2004-10-31 23:00,43.64833,-59.5395,2004,10,NA,0,922,7.325443038,229
S01112004.7,S01112004,7,100018589,2004-10-31 23:00,43.63317,-59.71467,2004,10,NA,0,924,3.944385965,165
S01112004.8,S01112004,8,100018589,2004-10-31 23:00,43.62867,-59.90333,2004,10,NA,2984.424526,925,2.463722628,103
S01112004.9,S01112004,9,100018589,2004-10-31 23:00,43.6245,-60.05783,2004,10,NA,11117.89216,928,3.635149254,92
S01112006.1,S01112006,1,100022397,2006-10-31 23:00,45.276,-60.07367,2006,10,0,0,83,3.003921569,154
S01112006.10,S01112006,10,100022397,2006-10-31 23:00,44.9435,-59.97167,2006,10,0,0,70,3.263013699,190
S01112006.11,S01112006,11,100022397,2006-10-31 23:00,44.90583,-60.14033,2006,10,0,0,117,3.236585366,128
S01112006.12,S01112006,12,100022397,2006-10-31 23:00,44.88017,-60.192,2006,10,0,0,118,3.064238411,254
S01112006.13,S01112006,13,100022397,2006-10-31 23:00,44.95683,-60.244,2006,10,19.91446126,398.2892251,116,2.785542169,192
S01112006.2,S01112006,2,100022397,2006-10-31 23:00,45.32917,-60.00983,2006,10,0,0,82,3.474390244,188
S01112006.3,S01112006,3,100022397,2006-10-31 23:00,45.36233,-59.94133,2006,10,0,0,81,3.5,152
S01112006.4,S01112006,4,100022397,2006-10-31 23:00,45.36817,-59.70717,2006,10,0,0,76,3.3016,130
S01112006.5,S01112006,5,100022397,2006-10-31 23:00,45.2885,-59.64233,2006,10,0,0,75,3.173880597,79
S01112006.6,S01112006,6,100022397,2006-10-31 23:00,45.27367,-59.78133,2006,10,0,0,74,3.111304348,99
S01112006.7,S01112006,7,100022397,2006-10-31 23:00,45.207,-59.94067,2006,10,42.40164493,636.0246739,73,3.274074074,170
S01112006.8,S01112006,8,100022397,2006-10-31 23:00,45.10817,-59.8825,2006,10,0,0,72,3.232835821,141
S01112006.9,S01112006,9,100022397,2006-10-31 23:00,45.04033,-60.01583,2006,10,0,0,71,3.237588652,143
S01112011.1,S01112011,1,100035978,2011-10-31 23:00,45.20267,-60.73783,2011,10,0,0,115,2.827027027,165
S01112011.3,S01112011,3,100035978,2011-10-31 23:00,45.092,-60.767,2011,10,0,0,100,2.817142857,150
S01112011.4,S01112011,4,100035978,2011-10-31 23:00,45.04233,-60.86467,2011,10,0,0,104,2.874125874,179
S01112011.5,S01112011,5,100035978,2011-10-31 23:00,45.07217,-60.99683,2011,10,0,0,101,2.81641791,176
S01112011.6,S01112011,6,100035978,2011-10-31 23:00,44.94283,-60.76767,2011,10,108.0941083,2161.882165,153,3.26462585,216
S01112014.1,S01112014,1,100044518,2014-10-31 23:00,45.145,-60.57667,2014,10,0,0,99,3.162810811,81
S01112014.2,S01112014,2,100044518,2014-10-31 23:00,45.23517,-60.59317,2014,10,0,0,114,3.222127119,157
S01122015.1,S01122015,1,100045752,2015-11-30 23:00,45.068,-60.995,2015,11,0,0,101,4.780027419,174
S01122015.10,S01122015,10,100045752,2015-11-30 23:00,44.69767,-61.4845,2015,11,0,0,325,8.273880734,143
S01122015.11,S01122015,11,100045752,2015-11-30 23:00,44.6485,-61.348,2015,11,0,0,324,5.601947706,115
S01122015.2,S01122015,2,100045752,2015-11-30 23:00,45.1285,-61.183,2015,11,0,0,102,3.483968519,92
S01122015.3,S01122015,3,100045752,2015-11-30 23:00,44.98183,-61.11717,2015,11,22.51037175,225.1037175,159,4.760923577,181
S01122015.4,S01122015,4,100045752,2015-11-30 23:00,45.00767,-61.38617,2015,11,0,0,331,3.747177778,97
S01122015.5,S01122015,5,100045752,2015-11-30 23:00,44.889,-61.28167,2015,11,0,0,158,5.785323684,168
S01122015.6,S01122015,6,100045752,2015-11-30 23:00,44.833,-61.2515,2015,11,0,0,157,6.207774561,152
S01122015.8,S01122015,8,100045752,2015-11-30 23:00,44.888,-61.44733,2015,11,0,0,330,6.181331304,132
S01122015.9,S01122015,9,100045752,2015-11-30 23:00,44.7565,-61.5705,2015,11,0,0,326,7.302874545,128
S01122017.1,S01122017,1,100050169,2017-11-30 23:00,44.77417,-59.92017,2017,11,26.39206708,263.9206708,305,3.87395871,260
S01122017.11,S01122017,11,100050169,2017-11-30 23:00,44.7755,-59.13917,2017,11,20.27462741,202.7462741,607,2.233144019,298
S01122017.12,S01122017,12,100050169,2017-11-30 23:00,44.89633,-59.0545,2017,11,249.4728073,3326.304098,63,2.236431132,205
S01122017.13,S01122017,13,100050169,2017-11-30 23:00,44.8745,-58.98883,2017,11,80.50022757,1207.503413,369,2.237215385,280
S01122017.2,S01122017,2,100050169,2017-11-30 23:00,44.848,-59.7125,2017,11,0,0,69,3.170362411,212
S01122017.3,S01122017,3,100050169,2017-11-30 23:00,44.7685,-59.59533,2017,11,46.17896254,230.8948127,338,3.191946032,209
S01122017.4,S01122017,4,100050169,2017-11-30 23:00,44.82283,-59.39617,2017,11,0,0,341,2.869801429,275
S01122017.5,S01122017,5,100050169,2017-11-30 23:00,44.89367,-59.295,2017,11,0,0,64,2.342197959,236
S01122017.6,S01122017,6,100050169,2017-11-30 23:00,44.762,-59.33517,2017,11,0,0,345,2.596768142,154
S01122017.7,S01122017,7,100050169,2017-11-30 23:00,44.71317,-59.39117,2017,11,0,0,342,2.734883929,231
S01122017.8,S01122017,8,100050169,2017-11-30 23:00,44.636,-59.2555,2017,11,0,0,346,2.800909244,156
S01122017.9,S01122017,9,100050169,2017-11-30 23:00,44.65333,-59.16567,2017,11,0,0,349,2.562501852,126
S01122018.1,S01122018,1,100052429,2018-11-30 23:00,44.10733,-59.35583,2018,11,814.7283008,2444.184902,950,5.792288596,95
S01122018.10,S01122018,10,100052429,2018-11-30 23:00,43.68817,-59.79817,2018,11,5752.175506,16052.58281,923,6.826112727,86
S01122018.11,S01122018,11,100052429,2018-11-30 23:00,43.74017,-59.70083,2018,11,63.31196635,316.5598318,521,5.921978632,73
S01122018.2,S01122018,2,100052429,2018-11-30 23:00,44.09,-59.24933,2018,11,0,0,953,5.661761345,92
S01122018.3,S01122018,3,100052429,2018-11-30 23:00,43.916,-59.24017,2018,11,114.7224348,382.4081161,653,5.776555046,57
S01122018.4,S01122018,4,100052429,2018-11-30 23:00,43.90933,-59.11267,2018,11,1047.565063,4313.503202,954,5.352141284,88
S01122018.5,S01122018,5,100052429,2018-11-30 23:00,43.853,-59.13767,2018,11,33.10139189,331.0139189,629,5.46746036,90
S01122018.6,S01122018,6,100052429,2018-11-30 23:00,43.7735,-59.08933,2018,11,0,0,955,8.508080469,192
S01122018.7,S01122018,7,100052429,2018-11-30 23:00,43.7035,-59.2105,2018,11,0,0,918,9.115919492,183
S01122018.8,S01122018,8,100052429,2018-11-30 23:00,43.70017,-59.4605,2018,11,0,0,920,8.305314655,139
S01122018.9,S01122018,9,100052429,2018-11-30 23:00,43.6485,-59.54283,2018,11,0,0,922,8.822936765,221
S02092010.1,S02092010,1,100032737,2010-09-01 23:00,46.60317,-60.21917,2010,9,0,0,6,2.032,117
S02092010.11,S02092010,11,100032737,2010-09-01 23:00,46.91283,-60.35317,2010,9,90.99079798,303.3026599,169,2.844186047,60
S02092010.12,S02092010,12,100032737,2010-09-01 23:00,46.99967,-60.25967,2010,9,67.25287784,448.3525189,168,2.18,101
S02092010.13,S02092010,13,100032737,2010-09-01 23:00,47.0745,-60.37167,2010,9,0,0,167,4.277241379,156
S02092010.2,S02092010,2,100032737,2010-09-01 23:00,46.7165,-60.2585,2010,9,0,0,187,2.46124031,115
S02092010.3,S02092010,3,100032737,2010-09-01 23:00,46.77067,-60.183,2010,9,35.06239192,350.6239192,186,3.52991453,150
S02092010.4,S02092010,4,100032737,2010-09-01 23:00,46.75917,-60.06033,2010,9,0,0,184,2.568333333,137
S02092010.5,S02092010,5,100032737,2010-09-01 23:00,46.69167,-59.96483,2010,9,0,0,19,1.281638232,101
S02092010.6,S02092010,6,100032737,2010-09-01 23:00,46.75517,-59.91783,2010,9,0,0,181,2.489772727,126
S02092010.7,S02092010,7,100032737,2010-09-01 23:00,46.80617,-59.94083,2010,9,0,0,175,2.910447761,134
S02092010.8,S02092010,8,100032737,2010-09-01 23:00,46.82917,-60.14533,2010,9,27.81139418,278.1139418,185,3.5,159
S02092011.1,S02092011,1,100035638,2011-09-01 23:00,46.90867,-60.35533,2011,9,0,0,169,2.496774194,55
S02092011.11,S02092011,11,100035638,2011-09-01 23:00,46.75667,-59.91917,2011,9,0,0,181,2.006746348,128
S02092011.12,S02092011,12,100035638,2011-09-01 23:00,46.8065,-59.93967,2011,9,0,0,175,3.445522388,134
S02092011.3,S02092011,3,100035638,2011-09-01 23:00,46.85433,-60.23733,2011,9,0,0,170,2.814049587,95
S02092011.4,S02092011,4,100035638,2011-09-01 23:00,46.826,-60.138,2011,9,0,0,999,3.994117647,156
S02092011.5,S02092011,5,100035638,2011-09-01 23:00,46.761,-60.06167,2011,9,0,0,184,3.714893617,141
S02092011.6,S02092011,6,100035638,2011-09-01 23:00,46.691,-59.96583,2011,9,0,0,19,2.61559633,102
S02092011.7,S02092011,7,100035638,2011-09-01 23:00,46.64883,-59.86917,2011,9,0,0,182,2.835042735,68
S02092011.8,S02092011,8,100035638,2011-09-01 23:00,46.65467,-59.77467,2011,9,56.5218877,282.6094385,179,3.0416,77
S02092011.9,S02092011,9,100035638,2011-09-01 23:00,46.71733,-59.76583,2011,9,0,0,180,2.604724409,97
S02092012.1,S02092012,1,100038537,2012-09-01 23:00,46.40717,-60.15583,2012,9,0,0,1,3.602838333,68
S02092012.2,S02092012,2,100038537,2012-09-01 23:00,46.4215,-60.25917,2012,9,809.6183728,2112.047929,703,4.327701449,59
S02092012.3,S02092012,3,100038537,2012-09-01 23:00,46.4805,-60.3395,2012,9,0,0,4,2.5989,75
S02092012.4,S02092012,4,100038537,2012-09-01 23:00,46.49183,-60.249,2012,9,111.9187203,279.7968009,3,2.290441429,95
S02092012.5,S02092012,5,100038537,2012-09-01 23:00,46.56217,-60.31067,2012,9,0,0,5,2.611075362,110
S02092012.6,S02092012,6,100038537,2012-09-01 23:00,46.63517,-60.24167,2012,9,0,0,189,2.436726389,112
S02092012.7,S02092012,7,100038537,2012-09-01 23:00,46.7275,-60.26,2012,9,0,0,187,2.507841333,113
S02092013.1,S02092013,1,100041758,2013-09-01 23:00,47.299,-60.16517,2013,9,0,0,333,5.844945283,289
S02092013.10,S02092013,10,100041758,2013-09-01 23:00,46.85683,-60.23817,2013,9,0,0,170,1.908427273,97
S02092013.12,S02092013,12,100041758,2013-09-01 23:00,46.82733,-60.1435,2013,9,0,0,185,3.759271667,157
S02092013.13,S02092013,13,100041758,2013-09-01 23:00,46.77633,-60.18083,2013,9,0,0,186,3.716000813,152
S02092013.14,S02092013,14,100041758,2013-09-01 23:00,46.7195,-60.259,2013,9,0,0,187,2.074460833,115
S02092013.2,S02092013,2,100041758,2013-09-01 23:00,47.2425,-60.25783,2013,9,0,0,614,5.741168889,212
S02092013.5,S02092013,5,100041758,2013-09-01 23:00,47.076,-60.36967,2013,9,0,0,167,4.039238525,157
S02092013.6,S02092013,6,100041758,2013-09-01 23:00,46.99233,-60.25967,2013,9,595.8453262,2383.381305,168,1.911368644,88
S02092013.7,S02092013,7,100041758,2013-09-01 23:00,46.904,-60.3505,2013,9,0,0,169,2.065509244,59
S02092018.1,S02092018,1,100052308,2018-09-01 23:00,44.67417,-57.45183,2018,9,0,0,412,3.75247156,59
S02092018.10,S02092018,10,100052308,2018-09-01 23:00,44.36967,-57.72667,2018,9,3230.257712,17811.70141,905,9.037669912,128
S02092018.11,S02092018,11,100052308,2018-09-01 23:00,44.401,-57.8005,2018,9,2450.843677,9476.59555,504,0.496980172,92
S02092018.12,S02092018,12,100052308,2018-09-01 23:00,44.3415,-58.0595,2018,9,684.9581868,2568.5932,908,1.836497297,73
S02092018.13,S02092018,13,100052308,2018-09-01 23:00,44.26633,-58.068,2018,9,89.9816686,899.816686,910,9.459065455,145
S02092018.14,S02092018,14,100052308,2018-09-01 23:00,44.28633,-58.2345,2018,9,989.1299875,3297.099958,502,0.753172222,79
S02092018.15,S02092018,15,100052308,2018-09-01 23:00,44.3715,-58.2815,2018,9,4013.619745,8887.300865,911,3.494465714,66
S02092018.2,S02092018,2,100052308,2018-09-01 23:00,44.71633,-57.38933,2018,9,486.2342652,911.6892473,401,3.052057009,60
S02092018.3,S02092018,3,100052308,2018-09-01 23:00,44.813,-57.35683,2018,9,0,0,405,6.878330709,183
S02092018.4,S02092018,4,100052308,2018-09-01 23:00,44.73667,-57.318,2018,9,32.44012537,324.4012537,655,1.431825225,128
S02092018.5,S02092018,5,100052308,2018-09-01 23:00,44.643,-57.2555,2018,9,205.5778451,770.916919,402,8.971953543,221
S02092018.6,S02092018,6,100052308,2018-09-01 23:00,44.54667,-57.354,2018,9,599.3804901,1198.76098,900,1.077057018,68
S02092018.7,S02092018,7,100052308,2018-09-01 23:00,44.411,-57.42283,2018,9,23.45478784,234.5478784,901,1.074036207,137
S02092018.8,S02092018,8,100052308,2018-09-01 23:00,44.447,-57.57583,2018,9,22.05426805,220.5426805,903,1.735765094,81
S02092018.9,S02092018,9,100052308,2018-09-01 23:00,44.3815,-57.58117,2018,9,4244.861203,13061.11139,505,0.249965385,115
S02102005.2,S02102005,2,100020552,2005-10-01 23:00,44.978,-61.1205,2005,10,0,0,159,2.8,179
S02102005.4,S02102005,4,100020552,2005-10-01 23:00,44.30367,-61.46017,2005,10,0,0,318,7.042016807,126
S02102005.5,S02102005,5,100020552,2005-10-01 23:00,44.10217,-61.36717,2005,10,0,0,536,6.988372093,132
S02102007.1,S02102007,1,100024402,2007-10-01 23:00,43.51667,-60.1155,2007,10,0,0,929,7.844680851,168
S02102007.10,S02102007,10,100024402,2007-10-01 23:00,43.69117,-59.789,2007,10,246.8248594,673.1587076,923,3.657983193,82
S02102007.11,S02102007,11,100024402,2007-10-01 23:00,43.74133,-59.69733,2007,10,0,0,521,3.858219178,71
S02102007.12,S02102007,12,100024402,2007-10-01 23:00,43.63117,-59.71783,2007,10,75.36193087,251.2064362,924,6.847058824,167
S02102007.13,S02102007,13,100024402,2007-10-01 23:00,43.648,-59.5395,2007,10,0,0,922,7.05477707,231
